i,psavg
0,1589306.625000
1,1580965.625000
2,1717335.750000
3,1651273.125000
4,1712062.250000
5,1707815.125000
6,1958637.375000
7,1817552.375000
8,1587343.625000
9,1714096.875000
10,1780655.500000
11,1612760.000000
12,1653246.125000
13,1614964.375000
14,1414786.750000
15,1420215.875000
16,1509245.875000
17,1821739.750000
18,1914643.625000
19,1680430.125000
20,1703429.000000
21,1705017.750000
22,1823011.250000
23,2009950.625000
24,1827624.875000
25,1951519.000000
26,2049540.750000
27,1779733.875000
28,1725385.750000
29,1907651.000000
30,1606143.250000
31,1579812.750000
32,1592183.375000
33,1702728.875000
34,1854316.625000
35,1695075.625000
36,1759290.875000
37,2176861.500000
38,2007919.500000
39,1731065.250000
40,1759465.375000
41,1417901.750000
42,1438652.500000
43,1685502.875000
44,1857658.750000
45,1459245.500000
46,1490665.250000
47,1486661.000000
48,1686258.750000
49,1638615.250000
50,1695430.625000
51,1731008.500000
52,1540742.750000
53,1706380.375000
54,1547903.000000
55,1446546.625000
56,1560942.625000
57,1553625.750000
58,1600711.750000
59,1620437.500000
60,1662264.875000
61,1585803.625000
62,1590797.125000
63,1680690.875000
64,1656141.750000
65,1415110.625000
66,1977950.875000
67,2209266.500000
68,1544234.625000
69,1711110.875000
70,1781709.250000
71,1880337.500000
72,1793566.250000
73,1530927.750000
74,1637459.000000
75,1824374.250000
76,1707481.875000
77,1649169.500000
78,1950542.125000
79,2353343.750000
80,1997881.000000
81,1656338.875000
82,1616478.625000
83,1975973.250000
84,1629613.000000
85,1498340.875000
86,1350964.875000
87,1493300.625000
88,1758233.875000
89,1960842.250000
90,2029455.875000
91,1664398.875000
92,1737295.125000
93,2017552.250000
94,1609932.750000
95,1585303.125000
96,1603275.625000
97,1731364.625000
98,1526467.375000
99,1649154.500000
100,1883241.250000
101,1586777.375000
102,1503173.500000
103,1426269.250000
104,1595158.250000
105,1578732.250000
106,1487034.125000
107,1474323.250000
108,1592727.125000
109,1633130.000000
110,1601914.625000
111,1633368.000000
112,1883691.125000
113,1653830.375000
114,1341427.125000
115,1537210.375000
116,1786149.375000
117,1905937.750000
118,2278250.750000
119,1984974.500000
120,1775139.125000
121,1849092.125000
122,1921488.250000
123,1889941.625000
124,1872691.500000
125,1745691.000000
126,1866299.500000
127,2163608.000000
128,2079364.125000
129,1800810.750000
130,1557513.250000
131,1652715.000000
132,1357803.125000
133,1752406.875000
134,1596798.500000
135,1662694.500000
136,1719831.750000
137,1657559.750000
138,1593444.875000
139,1832246.375000
140,2018188.750000
141,1795861.750000
142,1682065.875000
143,1585920.500000
144,1499258.000000
145,1904282.625000
146,1854169.875000
147,1755975.125000
148,1586167.500000
149,1658089.375000
150,1890082.125000
151,1886846.750000
152,2110339.750000
153,1613020.375000
154,1782635.750000
155,1747099.625000
156,1392813.500000
157,1509284.500000
158,1721995.625000
159,1843349.250000
160,1790614.625000
161,1747374.875000
162,1650644.125000
163,1535218.875000
164,1451765.500000
165,1489584.500000
166,1753050.875000
167,1854353.625000
168,1415365.250000
169,1389148.375000
170,1479785.250000
171,1457636.750000
172,1621340.625000
173,1671840.000000
174,1807639.875000
175,1830156.125000
176,1373980.625000
177,1330502.625000
178,1453063.375000
179,1759928.625000
180,1537211.750000
181,1343433.750000
182,1626392.000000
183,1636705.125000
184,1674855.875000
185,3988235.500000
186,5728624.500000
187,3715954.750000
188,2402110.000000
189,1976888.750000
190,2108128.750000
191,2450519.750000
192,2420104.750000
193,2659497.500000
194,2173683.250000
195,1961410.750000
196,2188960.000000
197,1936372.750000
198,1657272.000000
199,1359920.000000
200,1090084.500000
201,943364.062500
202,1106652.125000
203,1514794.500000
204,6575865.000000
205,6451507.000000
206,3976637.500000
207,3656190.250000
208,3836012.000000
209,4456127.000000
210,4432655.500000
211,3641503.750000
212,3344658.750000
213,2112781.500000
214,1929123.125000
215,1834469.000000
216,1497834.000000
217,1841997.000000
218,2016452.250000
219,1710378.000000
220,1831714.625000
221,1699680.250000
222,1639876.125000
223,1594851.375000
224,1545417.500000
225,1656386.875000
226,1793003.750000
227,1761031.125000
228,1955509.375000
229,1960347.375000
230,1843513.250000
231,1675251.000000
232,1598632.375000
233,1760737.375000
234,1988519.875000
235,1945862.375000
236,2025964.375000
237,2232134.000000
238,2568391.500000
239,2279753.250000
240,2364395.750000
241,2474214.250000
242,2766909.750000
243,2986775.000000
244,2812582.000000
245,2363083.000000
246,1994154.750000
247,1840139.250000
248,2103233.500000
249,2251524.000000
250,2649159.000000
251,11979914.000000
252,15392864.000000
253,11674197.000000
254,15121153.000000
255,22432788.000000
256,48278168.000000
257,271121440.000000
258,165016112.000000
259,72249328.000000
260,86540696.000000
261,75890760.000000
262,67838760.000000
263,42177684.000000
264,16713997.000000
265,7321610.000000
266,4091133.000000
267,2778023.750000
268,2613986.250000
269,2188118.750000
270,2256879.250000
271,1724215.250000
272,2092119.250000
273,1783219.125000
274,1814029.750000
275,1527912.250000
276,1370460.500000
277,1260603.500000
278,1262014.125000
279,1085377.875000
280,981161.062500
281,936767.187500
282,991925.062500
283,1505867.375000
284,2409835.250000
285,2458096.000000
286,1576353.375000
287,1815740.875000
288,2151244.750000
289,2135436.000000
290,1895708.875000
291,2220653.500000
292,1872299.750000
293,2041972.875000
294,2114813.250000
295,1629512.500000
296,1555180.750000
297,1399870.625000
298,1368746.375000
299,1629925.625000
300,1592703.250000
301,1692332.500000
302,1667317.375000
303,1890892.500000
304,2014163.875000
305,1643858.000000
306,1722371.875000
307,1751245.750000
308,1616007.000000
309,1594935.750000
310,1558144.250000
311,1906332.250000
312,2021263.875000
313,1669951.375000
314,1736227.625000
315,1775032.000000
316,1665004.125000
317,1437391.000000
318,1596227.875000
319,1669314.625000
320,1692673.250000
321,1563143.875000
322,1511826.250000
323,1622060.375000
324,1636744.750000
325,1555716.125000
326,1387827.875000
327,1422002.500000
328,1406398.000000
329,1938428.250000
330,1669148.875000
331,1412107.625000
332,1665958.750000
333,1570076.125000
334,1728990.375000
335,1792802.375000
336,1374473.625000
337,1335922.375000
338,1444364.000000
339,1373431.875000
340,1297680.000000
341,1536227.625000
342,1687279.500000
343,1609083.125000
344,1658298.875000
345,1756993.000000
346,1720080.000000
347,1453747.000000
348,1447182.125000
349,1388122.125000
350,1582304.500000
351,1539838.250000
352,1627958.125000
353,1885923.375000
354,1704976.625000
355,1549901.625000
356,1555950.500000
357,1597813.875000
358,1879468.000000
359,1907624.375000
360,1623917.250000
361,1830900.125000
362,1903443.125000
363,1615868.625000
364,1509920.625000
365,1574425.625000
366,1739736.125000
367,1470419.500000
368,1465306.375000
369,2074357.750000
370,1711435.375000
371,1356153.875000
372,1289730.750000
373,1332460.875000
374,1137157.625000
375,1277470.500000
376,1343951.000000
377,1433755.875000
378,1481046.500000
379,1750740.500000
380,2080311.875000
381,2811512.000000
382,4225529.500000
383,3705556.250000
384,3650796.000000
385,3595422.000000
386,3821649.750000
387,3644395.250000
388,3212808.000000
389,2213672.000000
390,1792912.125000
391,1677415.000000
392,1789828.375000
393,1531922.375000
394,1305577.000000
395,1563483.750000
396,1501056.000000
397,1436088.375000
398,1507757.875000
399,1451124.750000
400,1420690.375000
401,1486021.125000
402,1764326.625000
403,1621107.875000
404,1614888.625000
405,1589212.250000
406,1355418.000000
407,1562298.500000
408,1669747.750000
409,1532491.125000
410,1441333.000000
411,1553859.125000
412,1437388.375000
413,1724439.375000
414,1358265.250000
415,1656929.625000
416,1473355.625000
417,1424558.500000
418,1665193.125000
419,1772266.500000
420,1706905.500000
421,1354297.000000
422,1434897.000000
423,1678404.500000
424,1611101.500000
425,1695849.125000
426,1870259.750000
427,1602731.500000
428,1556869.625000
429,1616970.750000
430,1525613.500000
431,1758486.125000
432,1719790.000000
433,1624007.250000
434,1564087.750000
435,1587481.125000
436,1527989.625000
437,1639765.125000
438,1535632.250000
439,1721490.625000
440,1455075.250000
441,1400489.625000
442,1325360.125000
443,1643664.125000
444,1744145.625000
445,1503123.625000
446,1429398.875000
447,1660582.000000
448,1665804.000000
449,1427855.000000
450,1638176.250000
451,1449271.375000
452,1534543.125000
453,1664892.500000
454,1291712.750000
455,1428998.250000
456,1821935.250000
457,1866202.750000
458,1588580.125000
459,1516492.875000
460,1551702.625000
461,1382334.875000
462,1271900.000000
463,1369299.875000
464,1454513.375000
465,1504133.625000
466,1541502.250000
467,1907655.875000
468,2542366.500000
469,24239682.000000
470,8078328.000000
471,1855022.000000
472,1598931.250000
473,1791748.250000
474,1560766.000000
475,1745700.125000
476,1848459.250000
477,1851794.125000
478,1906781.375000
479,1768666.250000
480,1623660.375000
481,1489419.625000
482,2337301.250000
483,1646323.750000
484,1563503.375000
485,1593767.250000
486,1611952.750000
487,1608873.125000
488,1622400.250000
489,1810037.125000
490,1394067.625000
491,1229214.875000
492,1402812.500000
493,1546841.875000
494,1354157.000000
495,1484560.625000
496,1560016.000000
497,1749593.750000
498,1707129.250000
499,1587328.875000
500,1661313.125000
501,1638851.250000
502,1417208.875000
503,1470433.875000
504,1492147.875000
505,1987396.125000
506,2110638.250000
507,1643388.375000
508,1660760.000000
509,1623156.375000
510,1834979.750000
511,1885069.000000
