i,refi,refq
0,1.000000,0.000000
1,-0.047394,0.998876
2,-0.995508,-0.094682
3,0.141757,-0.989902
4,0.982071,0.188513
5,-0.234846,0.972033
6,-0.959810,-0.280650
7,0.325824,-0.945430
8,0.928926,0.370265
9,-0.413875,0.910334
10,-0.889696,-0.456554
11,0.498207,-0.867058
12,0.842472,0.538740
13,-0.578063,0.815992
14,-0.787679,-0.616086
15,0.652725,-0.757595
16,0.725808,0.687897
17,-0.721523,0.692391
18,-0.657417,-0.753527
19,0.783838,-0.620966
20,0.583117,0.812388
21,-0.839112,0.543958
22,-0.503576,-0.863951
23,0.886847,-0.462063
24,0.419511,0.907750
25,-0.926613,0.376016
26,-0.331676,-0.943393
27,0.958053,-0.286590
28,0.240860,0.970560
29,-0.980885,0.194589
30,-0.147881,-0.989005
31,0.994903,-0.100840
32,0.053573,0.998564
33,-0.999981,0.006185
34,0.041217,-0.999150
35,0.996074,0.088526
36,-0.135636,0.990759
37,-0.983217,-0.182442
38,0.228837,-0.973465
39,0.961525,0.274718
40,-0.319978,0.947425
41,-0.931195,-0.364522
42,0.408247,-0.912871
43,0.892496,0.451055
44,-0.492848,0.870115
45,-0.845779,-0.533534
46,0.573021,-0.819541
47,0.791461,0.611220
48,-0.648045,0.761602
49,-0.730032,-0.683413
50,0.717245,-0.696821
51,0.662043,0.749466
52,-0.780001,0.625778
53,-0.588106,-0.808784
54,0.835749,-0.549112
55,0.508884,0.860835
56,-0.883987,0.467512
57,-0.425089,-0.905151
58,0.924282,-0.381711
59,0.337475,0.941334
60,-0.956271,0.292481
61,-0.246829,-0.969059
62,0.979669,-0.200622
63,0.153965,0.988076
64,-0.994263,0.106961
65,-0.059717,-0.998215
66,0.999924,-0.012339
67,-0.035067,0.999385
68,-0.996600,-0.082395
69,0.129537,-0.991575
70,0.984321,0.176387
71,-0.222842,0.974855
72,-0.963197,-0.268795
73,0.314145,-0.949375
74,0.933419,0.358788
75,-0.402625,0.915365
76,-0.895254,-0.445557
77,0.487487,-0.873130
78,0.849044,0.528322
79,-0.567969,0.823050
80,-0.795210,-0.606334
81,0.643342,-0.765579
82,0.734227,0.678905
83,-0.712941,0.701224
84,-0.666646,-0.745375
85,0.776133,-0.630569
86,0.593075,0.805147
87,-0.832352,0.554248
88,-0.514175,-0.857685
89,0.881091,-0.472947
90,0.430655,0.902517
91,-0.921914,0.387396
92,-0.343266,-0.939238
93,0.954452,-0.298364
94,0.252792,0.967521
95,-0.978415,0.206651
96,-0.160046,-0.987109
97,0.993586,-0.113082
98,0.065863,0.997829
99,-0.999829,0.018496
100,0.028912,-0.999582
101,0.997088,0.076256
102,-0.123428,0.992354
103,-0.985388,-0.170323
104,0.216834,-0.976208
105,0.964834,0.262859
106,-0.308292,0.951292
107,-0.935611,-0.353033
108,0.396980,-0.917827
109,0.897980,0.440035
110,-0.482101,0.876116
111,-0.852281,-0.523084
112,0.562890,-0.826532
113,0.798924,0.601432
114,-0.638622,0.769521
115,-0.738388,-0.674376
116,0.708614,-0.705596
117,0.671218,0.741260
