i,smspec
0,11546340.000000
1,11306628.000000
2,11228954.000000
3,11087150.000000
4,10956852.000000
5,11036548.000000
6,10992432.000000
7,11030333.000000
8,11174583.000000
9,11294332.000000
10,11396848.000000
11,11211246.000000
12,11568760.000000
13,12115762.000000
14,12074192.000000
15,12194506.000000
16,12295525.000000
17,12519720.000000
18,12898176.000000
19,12451153.000000
20,11879346.000000
21,12159484.000000
22,12155856.000000
23,12023316.000000
24,12093521.000000
25,12653298.000000
26,13120252.000000
27,13139132.000000
28,12931236.000000
29,13199727.000000
30,13180171.000000
31,12727970.000000
32,11725590.000000
33,11221010.000000
34,11322906.000000
35,11667269.000000
36,11720752.000000
37,11755538.000000
38,11994492.000000
39,12661079.000000
40,12777711.000000
41,12604780.000000
42,12247214.000000
43,11949122.000000
44,11811190.000000
45,11723050.000000
46,11588739.000000
47,11565584.000000
48,11483454.000000
49,11306448.000000
50,11170242.000000
51,11222506.000000
52,11060386.000000
53,10651468.000000
54,10657418.000000
55,10787374.000000
56,10963020.000000
57,11001230.000000
58,11306188.000000
59,11472984.000000
60,11340088.000000
61,11284572.000000
62,11437591.000000
63,11741614.000000
64,12386497.000000
65,12487780.000000
66,12609089.000000
67,13116754.000000
68,13501032.000000
69,13604824.000000
70,13571578.000000
71,13039018.000000
72,12920343.000000
73,13308812.000000
74,13539084.000000
75,13418406.000000
76,13085978.000000
77,12866002.000000
78,12478114.000000
79,12364221.000000
80,11797412.000000
81,11380742.000000
82,11299764.000000
83,11399810.000000
84,11340540.000000
85,11814983.000000
86,12080765.000000
87,12279828.000000
88,12299200.000000
89,12165288.000000
90,12006986.000000
91,12317824.000000
92,12339748.000000
93,12077534.000000
94,11867840.000000
95,11843863.000000
96,12148024.000000
97,12535613.000000
98,12741671.000000
99,12500521.000000
100,12527182.000000
101,12688113.000000
102,12422838.000000
103,12042040.000000
104,11877189.000000
105,11610198.000000
106,11787793.000000
107,11752532.000000
108,11656076.000000
109,11798482.000000
110,11740963.000000
111,11508552.000000
112,11418254.000000
113,11481992.000000
114,11149983.000000
115,10888488.000000
116,10833054.000000
117,10838924.000000
118,10970681.000000
119,10889470.000000
120,10842756.000000
121,11257546.000000
122,11242379.000000
123,11093097.000000
124,11088523.000000
125,11227111.000000
126,11092483.000000
127,10628277.000000
128,10424512.000000
129,10687238.000000
130,11031591.000000
131,13566762.000000
132,17535458.000000
133,19714202.000000
134,20772876.000000
135,21123374.000000
136,21594800.000000
137,22370462.000000
138,20802332.000000
139,17733204.000000
140,16190933.000000
141,15750234.000000
142,15962305.000000
143,15790549.000000
144,14997301.000000
145,13937117.000000
146,12367703.000000
147,11137384.000000
148,10282626.000000
149,9608460.000000
150,14247952.000000
151,19042186.000000
152,21658904.000000
153,24225010.000000
154,27117660.000000
155,30467132.000000
156,33384994.000000
157,30450632.000000
158,27343784.000000
159,25479928.000000
160,23752860.000000
161,21751318.000000
162,18793026.000000
163,16202367.000000
164,14577315.000000
165,12943034.000000
166,12661968.000000
167,12432525.000000
168,12237932.000000
169,12334950.000000
170,12038370.000000
171,11678305.000000
172,11760930.000000
173,11690247.000000
174,11946076.000000
175,12266548.000000
176,12515209.000000
177,12645042.000000
178,12587288.000000
179,12555022.000000
180,12782510.000000
181,12772864.000000
182,12838480.000000
183,13227102.000000
184,14120242.000000
185,14801362.000000
186,15405022.000000
187,15890715.000000
188,16711763.000000
189,17672574.000000
190,18253022.000000
191,18047712.000000
192,17762116.000000
193,17237858.000000
194,16866878.000000
195,16351492.000000
196,16013876.000000
197,25181208.000000
198,38210988.000000
199,47891032.000000
200,61172044.000000
201,81501600.000000
202,127528248.000000
203,396000512.000000
204,549036736.000000
205,605893184.000000
206,680759744.000000
207,741529280.000000
208,786935296.000000
209,780834816.000000
210,526427360.000000
211,368732800.000000
212,300574624.000000
213,216811968.000000
214,143535200.000000
215,77884552.000000
216,37963748.000000
217,22973966.000000
218,17744476.000000
219,15436562.000000
220,14472567.000000
221,13386493.000000
222,12568836.000000
223,11572560.000000
224,11110358.000000
225,10103617.000000
226,9301559.000000
227,8424297.000000
228,7888309.000000
229,8023716.000000
230,9172948.000000
231,10369030.000000
232,10860005.000000
233,11694586.000000
234,12909063.000000
235,14052574.000000
236,14442416.000000
237,14253234.000000
238,13667437.000000
239,14133056.000000
240,14432130.000000
241,13910396.000000
242,13330142.000000
243,12834303.000000
244,11982396.000000
245,11740022.000000
246,11290752.000000
247,10868272.000000
248,10906076.000000
249,11241788.000000
250,11856082.000000
251,12131194.000000
252,12223640.000000
253,12382182.000000
254,12305856.000000
255,12233475.000000
256,11900727.000000
257,11792895.000000
258,12170300.000000
259,12117880.000000
260,12102862.000000
261,12261887.000000
262,12331956.000000
263,12211202.000000
264,11901098.000000
265,11549148.000000
266,11571870.000000
267,11398787.000000
268,11135580.000000
269,11092638.000000
270,11291991.000000
271,11251479.000000
272,10969992.000000
273,10699322.000000
274,10542576.000000
275,10969178.000000
276,11016266.000000
277,10791629.000000
278,10901872.000000
279,11084120.000000
280,11391108.000000
281,11777512.000000
282,11213558.000000
283,10880332.000000
284,10912588.000000
285,10620061.000000
286,10347665.000000
287,10154902.000000
288,10049379.000000
