Frequency,SNR
-150.146484,0.015849
-149.414062,0.015849
-148.681641,0.015849
-147.949219,0.015849
-147.216797,0.015849
-146.484375,0.015849
-145.751953,0.015849
-145.019531,0.015849
-144.287109,0.015849
-143.554688,0.015849
-142.822266,0.015849
-142.089844,0.015849
-141.357422,0.015849
-140.625000,0.015849
-139.892578,0.015849
-139.160156,0.015849
-138.427734,0.015849
-137.695312,0.015849
-136.962891,0.162664
-136.230469,0.015849
-135.498047,0.015849
-134.765625,0.015849
-134.033203,0.015849
-133.300781,0.015849
-132.568359,0.015849
-131.835938,0.015849
-131.103516,0.182746
-130.371094,0.184428
-129.638672,0.165671
-128.906250,0.189881
-128.173828,0.188118
-127.441406,0.015849
-126.708984,0.015849
-125.976562,0.015849
-125.244141,0.015849
-124.511719,0.015849
-123.779297,0.015849
-123.046875,0.015849
-122.314453,0.015849
-121.582031,0.015849
-120.849609,0.015849
-120.117188,0.015849
-119.384766,0.015849
-118.652344,0.015849
-117.919922,0.015849
-117.187500,0.015849
-116.455078,0.015849
-115.722656,0.015849
-114.990234,0.015849
-114.257812,0.015849
-113.525391,0.015849
-112.792969,0.015849
-112.060547,0.015849
-111.328125,0.015849
-110.595703,0.015849
-109.863281,0.015849
-109.130859,0.015849
-108.398438,0.015849
-107.666016,0.015849
-106.933594,0.015849
-106.201172,0.015849
-105.468750,0.015849
-104.736328,0.015849
-104.003906,0.015849
-103.271484,0.015849
-102.539062,0.015849
-101.806641,0.015849
-101.074219,0.182359
-100.341797,0.216991
-99.609375,0.226354
-98.876953,0.223359
-98.144531,0.175367
-97.412109,0.164675
-96.679688,0.199698
-95.947266,0.220455
-95.214844,0.209578
-94.482422,0.179609
-93.750000,0.159784
-93.017578,0.015849
-92.285156,0.015849
-91.552734,0.015849
-90.820312,0.015849
-90.087891,0.015849
-89.355469,0.015849
-88.623047,0.015849
-87.890625,0.015849
-87.158203,0.015849
-86.425781,0.015849
-85.693359,0.015849
-84.960938,0.015849
-84.228516,0.015849
-83.496094,0.015849
-82.763672,0.015849
-82.031250,0.015849
-81.298828,0.015849
-80.566406,0.015849
-79.833984,0.015849
-79.101562,0.015849
-78.369141,0.015849
-77.636719,0.015849
-76.904297,0.015849
-76.171875,0.015849
-75.439453,0.015849
-74.707031,0.015849
-73.974609,0.015849
-73.242188,0.015849
-72.509766,0.015849
-71.777344,0.015849
-71.044922,0.015849
-70.312500,0.015849
-69.580078,0.015849
-68.847656,0.015849
-68.115234,0.015849
-67.382812,0.015849
-66.650391,0.015849
-65.917969,0.015849
-65.185547,0.015849
-64.453125,0.015849
-63.720703,0.015849
-62.988281,0.015849
-62.255859,0.015849
-61.523438,0.015849
-60.791016,0.015849
-60.058594,0.015849
-59.326172,0.015849
-58.593750,0.015849
-57.861328,0.015849
-57.128906,0.015849
-56.396484,0.015849
-55.664062,0.015849
-54.931641,0.015849
-54.199219,0.222974
-53.466797,0.580737
-52.734375,0.777116
-52.001953,0.872537
-51.269531,0.904155
-50.537109,0.946670
-49.804688,1.016547
-49.072266,0.875156
-48.339844,0.598500
-47.607422,0.459480
-46.875000,0.419730
-46.142578,0.438840
-45.410156,0.423383
-44.677734,0.351916
-43.945312,0.256359
-43.212891,0.015849
-42.480469,0.015849
-41.748047,0.015849
-41.015625,0.015849
-40.283203,0.284316
-39.550781,0.716429
-38.818359,0.952300
-38.085938,1.183603
-37.353516,1.444361
-36.621094,1.746304
-35.888672,2.009326
-35.156250,1.744858
-34.423828,1.464817
-33.691406,1.296787
-32.958984,1.141117
-32.226562,0.960702
-31.494141,0.694023
-30.761719,0.460487
-30.029297,0.313990
-29.296875,0.166687
-28.564453,0.015849
-27.832031,0.015849
-27.099609,0.015849
-26.367188,0.015849
-25.634766,0.015849
-24.902344,0.015849
-24.169922,0.015849
-23.437500,0.015849
-22.705078,0.015849
-21.972656,0.015849
-21.240234,0.015849
-20.507812,0.015849
-19.775391,0.015849
-19.042969,0.015849
-18.310547,0.015849
-17.578125,0.015849
-16.845703,0.015849
-16.113281,0.192319
-15.380859,0.272830
-14.648438,0.334224
-13.916016,0.388614
-13.183594,0.432378
-12.451172,0.506391
-11.718750,0.593009
-10.986328,0.645346
-10.253906,0.626842
-9.521484,0.601106
-8.789062,0.553861
-8.056641,0.520434
-7.324219,0.473953
-6.591797,0.443487
-5.859375,1.269868
-5.126953,2.444408
-4.394531,3.317060
-3.662109,4.514279
-2.929688,6.346834
-2.197266,10.495811
-1.464844,34.696938
-0.732422,48.492008
0.000000,53.617329
0.732422,60.366070
1.464844,65.844009
2.197266,69.937019
2.929688,69.387108
3.662109,46.453861
4.394531,32.238846
5.126953,26.094725
5.859375,18.544014
6.591797,11.938638
7.324219,6.020741
8.056641,2.422187
8.789062,1.070948
9.521484,0.599537
10.253906,0.391501
10.986328,0.304581
11.718750,0.206648
12.451172,0.015849
13.183594,0.015849
13.916016,0.015849
14.648438,0.015849
15.380859,0.015849
16.113281,0.015849
16.845703,0.015849
17.578125,0.015849
18.310547,0.015849
19.042969,0.015849
19.775391,0.015849
20.507812,0.015849
21.240234,0.163649
21.972656,0.266735
22.705078,0.301892
23.437500,0.284848
24.169922,0.232062
24.902344,0.274028
25.634766,0.301009
26.367188,0.253993
27.099609,0.201667
27.832031,0.015849
28.564453,0.015849
29.296875,0.015849
30.029297,0.015849
30.761719,0.015849
31.494141,0.015849
32.226562,0.015849
32.958984,0.015849
33.691406,0.015849
34.423828,0.015849
35.156250,0.015849
35.888672,0.015849
36.621094,0.015849
37.353516,0.015849
38.085938,0.015849
38.818359,0.015849
39.550781,0.015849
40.283203,0.015849
41.015625,0.015849
41.748047,0.015849
42.480469,0.015849
43.212891,0.015849
43.945312,0.015849
44.677734,0.015849
45.410156,0.015849
46.142578,0.015849
46.875000,0.015849
47.607422,0.015849
48.339844,0.015849
49.072266,0.015849
49.804688,0.015849
50.537109,0.015849
51.269531,0.015849
52.001953,0.015849
52.734375,0.015849
53.466797,0.015849
54.199219,0.015849
54.931641,0.015849
55.664062,0.015849
56.396484,0.015849
57.128906,0.015849
57.861328,0.015849
58.593750,0.015849
59.326172,0.015849
60.058594,0.015849
60.791016,0.015849
61.523438,0.015849
62.255859,0.015849
62.988281,0.015849
63.720703,0.015849
64.453125,0.015849
65.185547,0.015849
65.917969,0.015849
66.650391,0.015849
67.382812,0.015849
68.115234,0.015849
68.847656,0.015849
69.580078,0.015849
70.312500,0.015849
71.044922,0.015849
71.777344,0.015849
72.509766,0.015849
73.242188,0.015849
73.974609,0.015849
74.707031,0.015849
75.439453,0.015849
76.171875,0.015849
76.904297,0.015849
77.636719,0.015849
78.369141,0.015849
79.101562,0.015849
79.833984,0.015849
80.566406,0.015849
81.298828,0.015849
82.031250,0.015849
82.763672,0.015849
83.496094,0.015849
84.228516,0.015849
84.960938,0.015849
85.693359,0.015849
86.425781,0.015849
87.158203,0.015849
87.890625,0.015849
88.623047,0.015849
89.355469,0.015849
90.087891,0.015849
90.820312,0.015849
91.552734,0.015849
92.285156,0.015849
93.017578,0.015849
93.750000,0.015849
94.482422,0.015849
95.214844,0.015849
95.947266,0.015849
96.679688,0.015849
97.412109,0.015849
98.144531,0.015849
98.876953,0.015849
99.609375,0.015849
100.341797,0.015849
101.074219,0.015849
101.806641,0.015849
102.539062,0.015849
103.271484,0.015849
104.003906,0.015849
104.736328,0.015849
105.468750,0.015849
106.201172,0.015849
106.933594,0.015849
107.666016,0.015849
108.398438,0.015849
109.130859,0.015849
109.863281,0.015849
110.595703,0.015849
111.328125,0.015849
112.060547,0.015849
112.792969,0.015849
113.525391,0.015849
114.257812,0.015849
114.990234,0.015849
115.722656,0.015849
116.455078,0.015849
117.187500,0.015849
117.919922,0.015849
118.652344,0.015849
119.384766,0.015849
120.117188,0.015849
120.849609,0.015849
121.582031,0.015849
122.314453,0.015849
123.046875,0.015849
123.779297,0.015849
124.511719,0.015849
125.244141,0.015849
125.976562,0.015849
126.708984,0.015849
127.441406,0.015849
128.173828,0.015849
128.906250,0.015849
129.638672,0.015849
130.371094,0.015849
131.103516,0.015849
131.835938,0.015849
132.568359,0.015849
133.300781,0.015849
134.033203,0.015849
134.765625,0.015849
135.498047,0.015849
136.230469,0.015849
136.962891,0.015849
137.695312,0.015849
138.427734,0.015849
139.160156,0.015849
139.892578,0.015849
140.625000,0.015849
141.357422,0.015849
142.089844,0.015849
142.822266,0.015849
143.554688,0.015849
144.287109,0.015849
145.019531,0.015849
145.751953,0.015849
146.484375,0.015849
147.216797,0.015849
147.949219,0.015849
148.681641,0.015849
149.414062,0.015849
150.146484,0.015849
