i,idat,w,idat * w
0,1.375257,0.000000,0.000000
1,-0.839463,0.006148,-0.005161
2,-3.017957,0.012296,-0.037107
3,-1.571594,0.018443,-0.028985
4,-2.268341,0.024589,-0.055777
5,1.135618,0.030735,0.034903
6,1.416447,0.036879,0.052237
7,1.325825,0.043022,0.057040
8,-1.209257,0.049164,-0.059451
9,0.187153,0.055303,0.010350
10,-2.067472,0.061441,-0.127027
11,-0.410671,0.067576,-0.027751
12,-5.261235,0.073708,-0.387796
13,-1.700946,0.079838,-0.135800
14,-0.347147,0.085965,-0.029842
15,2.360877,0.092088,0.217409
16,2.598746,0.098208,0.255219
17,6.191311,0.104325,0.645906
18,3.557869,0.110437,0.392920
19,-3.769541,0.116545,-0.439322
20,2.336326,0.122649,0.286548
21,-9.429523,0.128748,-1.214034
22,-3.895491,0.134842,-0.525278
23,-1.022031,0.140932,-0.144036
24,5.456166,0.147016,0.802141
25,5.603637,0.153094,0.857882
26,5.955429,0.159166,0.947904
27,4.502856,0.165233,0.744020
28,2.380831,0.171293,0.407820
29,-1.995326,0.177347,-0.353865
30,-3.926033,0.183394,-0.720011
31,-6.826585,0.189434,-1.293189
32,-7.602449,0.195467,-1.486029
33,3.541738,0.201493,0.713635
34,-1.119172,0.207511,-0.232240
35,5.791266,0.213521,1.236556
36,1.466306,0.219523,0.321888
37,6.256779,0.225517,1.411009
38,-0.990567,0.231502,-0.229318
39,-3.516587,0.237479,-0.835114
40,-5.343579,0.243446,-1.300873
41,-3.795240,0.249404,-0.946549
42,-4.843503,0.255353,-1.236804
43,-2.271575,0.261293,-0.593546
44,7.448360,0.267222,1.990365
45,2.302052,0.273141,0.628785
46,3.808329,0.279050,1.062715
47,0.024657,0.284949,0.007026
48,-7.123823,0.290836,-2.071866
49,1.328733,0.296713,0.394252
50,1.620950,0.302578,0.490464
51,-1.595743,0.308432,-0.492179
52,4.256205,0.314275,1.337617
53,1.394547,0.320105,0.446401
54,4.179394,0.325923,1.362162
55,-0.218759,0.331729,-0.072569
56,2.047106,0.337523,0.690945
57,-6.282979,0.343304,-2.156970
58,-3.704270,0.349071,-1.293055
59,-4.147530,0.354826,-1.471651
60,1.040009,0.360567,0.374993
61,3.669850,0.366295,1.344246
62,2.295523,0.372008,0.853954
63,4.547166,0.377708,1.717501
64,0.623788,0.383393,0.239156
65,0.301874,0.389064,0.117448
66,1.221055,0.394720,0.481975
67,-0.389297,0.400362,-0.155860
68,1.690406,0.405988,0.686284
69,1.976690,0.411598,0.813603
70,-0.204842,0.417194,-0.085459
71,-1.121266,0.422773,-0.474041
72,-0.035475,0.428337,-0.015195
73,2.677800,0.433884,1.161854
74,3.391239,0.439415,1.490160
75,-2.617530,0.444929,-1.164615
76,-4.159151,0.450426,-1.873391
77,0.208295,0.455907,0.094963
78,4.694488,0.461370,2.165895
79,1.488331,0.466816,0.694776
80,-3.815956,0.472244,-1.802061
81,2.711007,0.477654,1.294923
82,-2.167184,0.483046,-1.046850
83,0.099990,0.488420,0.048837
84,-6.448986,0.493776,-3.184352
85,-2.096373,0.499112,-1.046325
86,-2.812377,0.504430,-1.418648
87,-2.327277,0.509729,-1.186281
88,1.663442,0.515009,0.856687
89,5.213070,0.520269,2.712199
90,2.770176,0.525509,1.455753
91,-0.724435,0.530730,-0.384479
92,-0.932357,0.535931,-0.499679
93,0.235236,0.541111,0.127289
94,-2.372880,0.546271,-1.296235
95,1.392947,0.551410,0.768085
96,-0.070707,0.556528,-0.039351
97,0.197648,0.561626,0.111004
98,2.751818,0.566702,1.559460
99,5.260616,0.571756,3.007791
100,2.997985,0.576789,1.729206
101,5.913073,0.581801,3.440230
102,0.566828,0.586790,0.332609
103,-5.165512,0.591757,-3.056729
104,-2.541067,0.596702,-1.516259
105,-10.172365,0.601624,-6.119940
106,-3.382968,0.606524,-2.051850
107,-0.640950,0.611400,-0.391877
108,1.287394,0.616253,0.793361
109,11.386091,0.621084,7.071714
110,1.400501,0.625890,0.876560
111,6.236282,0.630673,3.933056
112,-1.393335,0.635432,-0.885370
113,-7.445100,0.640167,-4.766110
114,-0.049704,0.644878,-0.032053
115,1.309075,0.649565,0.850330
116,4.407734,0.654227,2.883659
117,3.993268,0.658864,2.631021
118,-4.621129,0.663477,-3.066011
119,3.415725,0.668064,2.281922
120,-6.640694,0.672626,-4.466703
121,0.918946,0.677163,0.622276
122,0.494839,0.681674,0.337319
123,-4.465705,0.686159,-3.064183
124,-0.944723,0.690618,-0.652443
125,1.803877,0.695051,1.253787
126,4.557406,0.699458,3.187716
127,3.721635,0.703839,2.619431
128,-3.724666,0.708193,-2.637782
129,-3.216071,0.712520,-2.291515
130,0.089853,0.716820,0.064408
131,1.101937,0.721093,0.794599
132,-2.256909,0.725339,-1.637024
133,-3.586159,0.729558,-2.616309
134,3.334956,0.733748,2.447019
135,1.653440,0.737912,1.220092
136,1.845660,0.742047,1.369566
137,-0.250478,0.746154,-0.186895
138,-2.508172,0.750233,-1.881714
139,-0.619605,0.754284,-0.467358
140,-3.575000,0.758306,-2.710943
141,2.769700,0.762299,2.111340
142,0.186346,0.766264,0.142791
143,2.741264,0.770200,2.111321
144,1.301846,0.774106,1.007767
145,3.766600,0.777984,2.930353
146,1.259907,0.781832,0.985035
147,-1.411654,0.785650,-1.109066
148,0.776252,0.789439,0.612803
149,-3.208589,0.793197,-2.545044
150,0.797247,0.796926,0.635347
151,3.793512,0.800625,3.037180
152,3.599664,0.804293,2.895187
153,0.745767,0.807932,0.602529
154,1.702490,0.811539,1.381637
155,5.503968,0.815116,4.486372
156,0.719522,0.818662,0.589046
157,-3.941490,0.822177,-3.240603
158,-4.444536,0.825661,-3.669681
159,-4.486754,0.829114,-3.720030
160,-8.826472,0.832535,-7.348351
161,-3.977310,0.835926,-3.324735
162,2.491200,0.839284,2.090824
163,0.370432,0.842611,0.312130
164,6.365709,0.845905,5.384788
165,1.132365,0.849168,0.961568
166,-0.546280,0.852399,-0.465648
167,-3.490770,0.855598,-2.986695
168,-7.085413,0.858764,-6.084697
169,0.514232,0.861898,0.443215
170,-0.323844,0.864999,-0.280125
171,1.877610,0.868067,1.629892
172,0.690502,0.871103,0.601498
173,1.108168,0.874106,0.968656
174,-1.336400,0.877076,-1.172124
175,0.068889,0.880012,0.060623
176,-5.456668,0.882916,-4.817777
177,-3.626546,0.885785,-3.212342
178,-5.607727,0.888622,-4.983149
179,4.784182,0.891425,4.264739
180,-2.589834,0.894194,-2.315814
181,8.011216,0.896929,7.185495
182,0.585451,0.899631,0.526690
183,8.812650,0.902298,7.951640
184,1.124899,0.904932,1.017957
185,-2.087633,0.907531,-1.894591
186,-4.170949,0.910096,-3.795963
187,-7.756688,0.912626,-7.078957
188,-2.123766,0.915122,-1.943505
189,-3.267549,0.917584,-2.998249
190,5.679647,0.920010,5.225334
191,6.049608,0.922402,5.580173
192,8.130572,0.924759,7.518823
193,-3.823030,0.927081,-3.544260
194,5.811942,0.929369,5.401436
195,-1.531921,0.931620,-1.427169
196,-4.156938,0.933837,-3.881903
197,-5.913349,0.936019,-5.535005
198,-0.609299,0.938165,-0.571623
199,-7.577241,0.940275,-7.124693
200,1.899258,0.942350,1.789767
201,6.229914,0.944390,5.883468
202,-0.405787,0.946394,-0.384034
203,2.320800,0.948362,2.200957
204,0.004141,0.950294,0.003935
205,-1.346509,0.952190,-1.282133
206,-4.779121,0.954050,-4.559521
207,-1.213770,0.955874,-1.160211
208,-2.944092,0.957662,-2.819446
209,-1.859196,0.959414,-1.783739
210,1.670539,0.961130,1.605605
211,-5.773305,0.962809,-5.558590
212,2.820144,0.964452,2.719893
213,0.104532,0.966058,0.100984
214,4.391442,0.967628,4.249283
215,-2.114364,0.969162,-2.049160
216,-2.768697,0.970658,-2.687458
217,-5.171834,0.972118,-5.027635
218,-6.854179,0.973541,-6.672827
219,0.357127,0.974928,0.348173
220,2.939257,0.976278,2.869530
221,3.453057,0.977590,3.375675
222,5.460677,0.978866,5.345271
223,1.614674,0.980105,1.582550
224,-1.515108,0.981306,-1.486786
225,0.451932,0.982471,0.444010
226,1.099673,0.983599,1.081637
227,2.778528,0.984689,2.735986
228,-2.327429,0.985742,-2.294245
229,-2.489810,0.986758,-2.456839
230,0.703639,0.987736,0.695010
231,1.691878,0.988678,1.672722
232,1.829334,0.989581,1.810275
233,0.152264,0.990448,0.150810
234,1.546378,0.991277,1.532889
235,-0.550036,0.992068,-0.545673
236,1.546400,0.992822,1.535301
237,0.000934,0.993539,0.000928
238,-1.762639,0.994218,-1.752447
239,-1.271881,0.994859,-1.265343
240,1.796795,0.995463,1.788643
241,-0.334508,0.996029,-0.333180
242,-1.440585,0.996558,-1.435627
243,-3.328623,0.997049,-3.318799
244,-0.092179,0.997502,-0.091948
245,0.838660,0.997917,0.836913
246,-3.333141,0.998295,-3.327457
247,-0.433479,0.998635,-0.432887
248,2.126874,0.998937,2.124613
249,-2.389241,0.999202,-2.387334
250,-6.339163,0.999428,-6.335540
251,0.401520,0.999617,0.401366
252,1.025944,0.999768,1.025707
253,5.063735,0.999882,5.063137
254,1.076281,0.999958,1.076236
255,-0.443377,0.999995,-0.443375
256,-2.804314,0.999995,-2.804301
257,-2.150098,0.999958,-2.150007
258,-6.828606,0.999882,-6.827799
259,-4.397809,0.999768,-4.396791
260,6.657215,0.999617,6.654668
261,-2.073572,0.999428,-2.072387
262,5.361405,0.999202,5.357125
263,-2.309296,0.998937,-2.306841
264,-0.461725,0.998635,-0.461095
265,1.346044,0.998295,1.343748
266,-2.911946,0.997917,-2.905881
267,-1.549626,0.997502,-1.545755
268,-2.494225,0.997049,-2.486863
269,-6.323998,0.996558,-6.302229
